#PIN	POUT	GAINFLATNESS	NF
-16	10	0.583413	4.8638936486
-15	11	0.612888	4.77891567776
-14	12	0.872239	4.82666690924
-13	13	0.949926	4.87295704438
-12	14	0.983316	4.79756968698
-11	15	1.379439	5.09327541684
-10	16	1.421852	5.09250464925
-9	17	1.458277	5.07101171272
-8	18	1.571945	4.76813524976
-7	19	1.658292	4.8534864225
-6	20	1.712606	4.90478982933
-5	21	1.12518	4.43332104704
-31	-4	0.44749	7.08442842906
-30	-3	0.363966	6.68645772449
-29	-2	0.253199	6.38851659024
-28	-1	0.197387	6.12314729802
-27	0	0.132053	5.94133750269
-26	1	0.068761	5.79130380119
-25	2	0.005482	5.66930582757
-24	3	0.011114	5.5020106174
-23	4	0.060742	5.435395682
-22	5	0.0825	5.29520813006
-21	6	0.145887	5.19763136552
-20	7	0.149944	5.06690895672
-19	8	0.139027	4.96841271029
-18	9	0.687058	5.03461597388
-17	10	0.739373	4.95567131156
-16	11	0.701703	4.89678272547
-15	12	1.357047	5.16662854637
-14	13	1.374987	5.15942458928
-13	14	1.456713	5.05558658514
-12	15	2.243195	5.73543553624
-11	16	2.330762	5.74921829545
-10	17	2.367552	5.68872539025
-9	18	2.338636	5.42994513529
-8	19	2.395437	5.50037183166
-7	20	2.496414	5.52715470218
-6	21	1.842369	5.03628917634
-31	-3	0.336423	6.6791532373
-30	-2	0.181598	6.30724046555
-29	-1	0.151722	6.10896433012
-28	0	0.069842	5.93291227333
-27	1	0.026279	5.74244965288
-26	2	0.021795	5.65729978171
-25	3	0.073725	5.55085877494
-24	4	0.111228	5.39840718715
-23	5	0.121892	5.29686717683
-22	6	0.19424	5.19082184055
-21	7	0.221501	5.14053341359
-20	8	0.215308	5.04198066474
-19	9	0.781807	5.14963713433
-18	10	0.77847	5.11836545601
-17	11	0.789205	5.03199426512
-16	12	1.679615	5.47562511326
-15	13	1.69887	5.45653183701
-14	14	1.806389	5.45523860516
-13	15	3.162571	6.45336716174
-12	16	3.228886	6.46963457948
-11	17	3.283531	6.45111261957
-10	18	3.228657	6.20525414564
-9	19	3.324992	6.17563905641
-8	20	3.394882	6.17971100264
-7	21	2.647108	5.59893210832
